id,password,last_login,email,active,staff,admin,timestamp,branch,branch_code,region,division
1,12345678,,mgrbadhalbazar@krishibank.org.bd,1,1,0,50:20.2,BADHAL BAZAR,1408,BAGERHAT,Khulna
2,12345678,,mgrbagerhat@krishibank.org.bd,1,1,0,50:20.2,BAGERHAT,1401,BAGERHAT,Khulna
3,12345678,,mgrcnbbazar@krishibank.org.bd,1,1,0,50:20.2,C&B BAZAR,1421,BAGERHAT,Khulna
4,12345678,,mgrchaksreebazar@krishibank.org.bd ,1,1,0,50:20.2,CHAKSREE BAZAR,1411,BAGERHAT,Khulna
5,12345678,,mgrchitalmaribazar@krishibank.org.bd,1,1,0,50:20.2,CHITALMARI BAZAR,1409,BAGERHAT,Khulna
6,12345678,,mgrdaibanchahati@krishibank.org.bd,1,1,0,50:20.2,DAIBAGYA HATI,1419,BAGERHAT,Khulna
7,12345678,,mgrdargah@krishibank.org.bd,1,1,0,50:20.2,DARGAH,1402,BAGERHAT,Khulna
8,12345678,,mgrfakirhat@krishibank.org.bd,1,1,0,50:20.2,FAKIR HAT,1403,BAGERHAT,Khulna
9,12345678,,mgrfaltitabazar@krishibank.org.bd,1,1,0,50:20.2,FALTITA BAZAR,1420,BAGERHAT,Khulna
10,12345678,,mgrfulhatabazar@krishibank.org.bd,1,1,0,50:20.2,FULHATA BAZAR,1414,BAGERHAT,Khulna
11,12345678,,mgrgajaliabazar@krishibank.org.bd,1,1,0,50:20.2,GAZALIA BAZAR,1407,BAGERHAT,Khulna
12,12345678,,mgrkachua@krishibank.org.bd,1,1,0,50:20.2,KACHUA,1406,BAGERHAT,Khulna
13,12345678,,mgrkalatalabazar@krishibank.org.bd,1,1,0,50:20.2,KALATOLA,1405,BAGERHAT,Khulna
14,12345678,,mgrmollahat@krishibank.org.bd,1,1,0,50:20.2,MOLLA HAT,1404,BAGERHAT,Khulna
15,12345678,,mgrmonglaport@krishibank.org.bd ,1,1,0,50:20.2,MONGLAPORT,1416,BAGERHAT,Khulna
16,12345678,,mgrmorelgonj@krishibank.org.bd,1,1,0,50:20.2,MORRELGANJ,1412,BAGERHAT,Khulna
17,12345678,,mgrmukkhayit@krishibank.org.bd ,1,1,0,50:20.2,MUKHAIT (TALESHWAR),1418,BAGERHAT,Khulna
18,12345678,,mgrrampal@krishibank.org.bd,1,1,0,50:20.2,RAMPAL,1410,BAGERHAT,Khulna
19,12345678,,mgrraiyendabazar@krishibank.org.bd,1,1,0,50:20.2,RAYENDA BAZAR,1415,BAGERHAT,Khulna
20,12345678,,mgrsannashibazar@krishibank.org.bd,1,1,0,50:20.2,SONNASHI BAZAR,1413,BAGERHAT,Khulna
21,12345678,,mgrtownnoapara@krishibank.org.bd,1,1,0,50:20.2,TOWN NOAPARA,1417,BAGERHAT,Khulna
22,12345678,,mgralikadam@krishibank.org.bd,1,1,0,50:20.2,ALIKADAM,3119,BANDARBAN,Chattogram
23,12345678,,mgraziznagar@krishibank.org.bd,1,1,0,50:20.2,AZIZ NAGAR,3118,BANDARBAN,Chattogram
24,12345678,,mgrbbaishari@krishibank.org.bd,1,1,0,50:20.2,BAICHARI,3121,BANDARBAN,Chattogram
25,12345678,,mgrbandarban@krishibank.org.bd,1,1,0,50:20.2,BANDARBAN,3201,BANDARBAN,Chattogram
26,12345678,,mgrlama@krishibank.org.bd,1,1,0,50:20.2,LAMA,3117,BANDARBAN,Chattogram
27,12345678,,mgrnaikhangchari@krishibank.org.bd,1,1,0,50:20.2,NAKHYONGCHARI,3120,BANDARBAN,Chattogram
28,12345678,,mgrrowangchari@krishibank.org.bd,1,1,0,50:20.2,ROANG CHARI,3202,BANDARBAN,Chattogram
29,12345678,,mgrruma@krishibank.org.bd,1,1,0,50:20.2,RUMA,3204,BANDARBAN,Chattogram
30,12345678,,mgrthanchi@krishibank.org.bd,1,1,0,50:20.2,THANCHI,3203,BANDARBAN,Chattogram
31,,,mgramtali@krishibank.org.bd,1,1,0,50:20.2,AMTALI,606,BARGUNA,Barishal
32,,,mgraylabazar@krishibank.org.bd,1,1,0,50:20.2,AYLA BAZAR,612,BARGUNA,Barishal
33,,,mgrbamna@krishibank.org.bd,1,1,0,50:20.2,BAMNA,609,BARGUNA,Barishal
34,,,mgrbarguna@krishibank.org.bd,1,1,0,50:20.2,BARGUNA,601,BARGUNA,Barishal
35,,,mgrbetagi@krishibank.org.bd,1,1,0,50:20.2,BETAGI,603,BARGUNA,Barishal
36,,,mgrchandkhalibarguna@krishibank.org.bd,1,1,0,50:20.2,CHANDOKHALI,604,BARGUNA,Barishal
37,,,mgrcharduanibazar@krishibank.org.bd,1,1,0,50:20.2,CHARDUANI BAZAR,611,BARGUNA,Barishal
38,,,mgrdowatala@krishibank.org.bd,1,1,0,50:20.2,DAUATALA,615,BARGUNA,Barishal
39,,,mgrfuljhuribazar@krishibank.org.bd,1,1,0,50:20.2,FULJURI BAZAR,610,BARGUNA,Barishal
40,,,mgrgourichanna@krishibank.org.bd,1,1,0,50:20.2,GOURICHANNA,616,BARGUNA,Barishal
41,,,mgrhosnabad@krishibank.org.bd,1,1,0,50:20.2,HASHNABAD,613,BARGUNA,Barishal
42,,,mgrkakua@krishibank.org.bd,1,1,0,50:20.2,KUKUA,608,BARGUNA,Barishal
43,,,mgrlemua@krishibank.org.bd,1,1,0,50:20.2,LEMUA BAZAR,614,BARGUNA,Barishal
44,,,mgrmokamia@krishibank.org.bd,1,1,0,50:20.2,MOKAMIA,605,BARGUNA,Barishal
45,,,mgrpatharghata@krishibank.org.bd,1,1,0,50:20.2,PATHARGHATA,602,BARGUNA,Barishal
46,,,mgrtaltalibarg@krishibank.org.bd,1,1,0,50:20.2,TALTALI,607,BARGUNA,Barishal
47,,,mgragailjhara@krishibank.org.bd,1,1,0,50:20.2,AGOILJHARA,209,BARISHAL,Barishal
48,,,mgrbabugonj@krishibank.org.bd,1,1,0,50:20.2,BABUGANJ,205,BARISHAL,Barishal
49,,,"mgrbaishari@krishibank.org.bd,",1,1,0,50:20.2,BAISARI,223,BARISHAL,Barishal
50,,,mgrbakergonj@krishibank.org.bd,1,1,0,50:20.2,BAKERGANJ,202,BARISHAL,Barishal
51,,,mgrbanaripara@krishibank.org.bd,1,1,0,50:20.2,BANARIPARA,222,BARISHAL,Barishal
52,,,mgrbarisal@krishibank.org.bd,1,1,0,50:20.2,BARISHAL,201,BARISHAL,Barishal
53,,,mgrbhashanchar@krishibank.org.bd,1,1,0,50:20.2,BHASHANCHAR,212,BARISHAL,Barishal
54,,,mgrchoygrambazar@krishibank.org.bd,1,1,0,50:20.2,CHOYGRAM BAZAR,228,BARISHAL,Barishal
55,,,mgrgouranadi@krishibank.org.bd,1,1,0,50:20.2,GOURNADI,208,BARISHAL,Barishal
56,,,mgrhabibpurbazar@krishibank.org.bd,1,1,0,50:20.2,HABIBPUR BAZAR,224,BARISHAL,Barishal
57,,,hartabandor@krishibank.org.bd,1,1,0,50:20.2,HARTA BANDOR,229,BARISHAL,Barishal
58,,,mgrhijla@krishibank.org.bd,1,1,0,50:20.2,HIZLA (K.BANDAR),216,BARISHAL,Barishal
59,,,mgrkarfabazar@krishibank.org.bd,1,1,0,50:20.2,KARFA BAZAR,225,BARISHAL,Barishal
60,,,mgrkazirhat@krishibank.org.bd,1,1,0,50:20.2,KAZIR HAT,219,BARISHAL,Barishal
61,,,mgrkhasherhat@krishibank.org.bd,1,1,0,50:20.2,KHASHER HAT,215,BARISHAL,Barishal
62,,,mgrlangutiabazar@krishibank.org.bd,1,1,0,50:20.2,LANGUTIA BAZAR,230,BARISHAL,Barishal
63,,,mgrmoheshpurbazar@krishibank.org.bd,1,1,0,50:20.2,MOHESHPUR BAZAR,203,BARISHAL,Barishal
64,,,mgrmahilara@krishibank.org.bd,1,1,0,50:20.2,MOHILARA,227,BARISHAL,Barishal
65,,,Mokimabad@krishibank.org.bd,1,1,0,50:20.2,MOKIMABAD BAZAR,231,BARISHAL,Barishal
66,,,mgrmoulvirhat@krishibank.org.bd,1,1,0,50:20.2,MOULAVIR HAT,220,BARISHAL,Barishal
67,,,mgrmuladi@krishibank.org.bd,1,1,0,50:20.2,MULADI,214,BARISHAL,Barishal
68,,,mgrpatarhat@krishibank.org.bd,1,1,0,50:20.2,PATARHAT,210,BARISHAL,Barishal
69,,,mgrraipasha@krishibank.org.bd,1,1,0,50:20.2,RAIPASHA,218,BARISHAL,Barishal
